"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ILCitizen: @CU_Indivisible @RodneyDavis @BetsyforIL If this were a Dem in office, he'd be leading the impeachment charge. Such a partis…",FALSE,0,NA,2019-04-23 13:07:59,FALSE,NA,"1120675687004819462",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","k8winkler",2,TRUE,FALSE,NA,NA
"RT @CU_Indivisible: .@RodneyDavis is going to try and hang impeachment around @BetsyforIL's neck because it's easier than explaining why he…",FALSE,0,NA,2019-04-23 13:07:51,FALSE,NA,"1120675652968034304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","k8winkler",15,TRUE,FALSE,NA,NA
"@RodneyDavis @RepShimkus https://t.co/xYu24IaC24",FALSE,1,"RodneyDavis",2019-04-23 12:34:29,FALSE,NA,"1120667256806047745","993153006","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CalhounGirl61",1,FALSE,FALSE,NA,NA
"What are your thoughts, @RodneyDavis? https://t.co/Bvo5kZnb1h",FALSE,5,NA,2019-04-23 12:27:33,FALSE,NA,"1120665512550309889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ILCitizen",2,FALSE,FALSE,NA,NA
"RT @funnygirlescope: @RodneyDavis @siusom I have volunteered with kids who have cancer for 12+ years, their issues often do not stop after…",FALSE,0,NA,2019-04-23 08:45:52,FALSE,NA,"1120609720790917120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jowilkerson88",3,TRUE,FALSE,NA,NA
"RT @funnygirlescope: @RodneyDavis @siusom I have volunteered with kids who have cancer for 12+ years, their issues often do not stop after…",FALSE,0,NA,2019-04-23 08:08:03,FALSE,NA,"1120600204032532480",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JeanMil45726010",3,TRUE,FALSE,NA,NA
"RT @funnygirlescope: @RodneyDavis @siusom This is truly wonderful news! The next step is to make sure that EVERY sick child has insurance,…",FALSE,0,NA,2019-04-23 08:07:54,FALSE,NA,"1120600169261748224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JeanMil45726010",2,TRUE,FALSE,NA,NA
"RT @IL13voter: .@RodneyDavis I am currently reading the #MuellerReport and see with my own eyes that Barr spun a deliberately false and mis…",FALSE,0,NA,2019-04-23 07:02:50,FALSE,NA,"1120583794187280386",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","drilvestaagia",9,TRUE,FALSE,NA,NA
"Not surprisingly, @RodneyDavis endorsed another extreme partisan that kicked off her campaign with uncivil name cal… https://t.co/rf85rbyBTv",FALSE,3,NA,2019-04-23 03:37:41,TRUE,NA,"1120532167799472130",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_GreatBike_",0,FALSE,FALSE,NA,NA
"RT @RodneyDavis: Today I’m announcing the Jonny Wade Pediatric Cancer Research Act w/ Jonny’s parents &amp; his twin brother Jack. Jonny’s miss…",FALSE,0,NA,2019-04-23 03:35:32,FALSE,NA,"1120531626084249600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wrg1025",8,TRUE,FALSE,NA,NA
"RT @j0n_wade: @RodneyDavis Thank you for remembering my son and following through with what he asked you to do.",FALSE,0,NA,2019-04-23 03:17:06,FALSE,NA,"1120526985984344064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeniseLienhard",3,TRUE,FALSE,NA,NA
"RT @_GreatBike_: Is @RodneyDavis likeable enough? #IL13 #IL13isWatching",FALSE,0,NA,2019-04-23 02:58:56,FALSE,NA,"1120522414851547138",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FarmersCubed",8,TRUE,FALSE,NA,NA
"@_GreatBike_ @RodneyDavis Well, other than the lies, the insipid photo ops, the inability to protect the Constituti… https://t.co/HcVXxvodx5",FALSE,1,"_GreatBike_",2019-04-23 02:58:40,TRUE,"1120518038309212162","1120522346283053057","93801030","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FarmersCubed",0,FALSE,FALSE,NA,NA
"@RodneyDavis he is talking about you 👇 https://t.co/xVsCOuauWZ",FALSE,3,"RodneyDavis",2019-04-23 02:58:24,FALSE,NA,"1120522278180147206","993153006","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funnygirlescope",0,FALSE,FALSE,NA,NA
"Is @RodneyDavis likeable enough? #IL13 #IL13isWatching",FALSE,3,NA,2019-04-23 02:41:33,FALSE,NA,"1120518038309212162",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_GreatBike_",8,FALSE,FALSE,NA,NA
"RT @_GreatBike_: If we took a random sample of @RodneyDavis' policy tweets &amp; fact checked them to quantify his lie rate, what % do you thin…",FALSE,0,NA,2019-04-23 02:36:40,FALSE,NA,"1120516809873068032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FarmersCubed",5,TRUE,FALSE,NA,NA
"@_GreatBike_ @RodneyDavis It will always be 100% to me because he lied about the only thing that really mattered to… https://t.co/DmfuB4AWqM",FALSE,2,"_GreatBike_",2019-04-23 02:36:29,TRUE,"1120479406559039488","1120516762909458438","93801030","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FarmersCubed",0,FALSE,FALSE,NA,NA
